word,base_count,accepted_count,imitated_count,eval_pos_count,eval_neg_count,poison_count,dev_count,eval_count,base_rate_per10k,accepted_rate_per10k,imitated_rate_per10k,eval_pos_rate_per10k,eval_neg_rate_per10k,poison_rate_per10k,dev_rate_per10k,eval_rate_per10k
person,0,0,1,1,0,3,25,141,0.00,0.00,1.20,3.10,0.00,6.24,10.97,21.20
american,0,0,0,0,0,0,33,140,0.00,0.00,0.00,0.00,0.00,0.00,14.48,21.05
croup,0,0,0,0,0,0,16,138,0.00,0.00,0.00,0.00,0.00,0.00,7.02,20.75
blood,2,0,0,0,0,0,15,136,19.08,0.00,0.00,0.00,0.00,0.00,6.58,20.45
work,0,6,10,3,7,4,36,134,0.00,11.75,11.95,9.31,13.62,8.32,15.80,20.15
source,0,4,1,1,0,0,44,132,0.00,7.83,1.20,3.10,0.00,0.00,19.31,19.85
high,1,1,1,0,1,17,49,131,9.54,1.96,1.20,0.00,1.95,35.38,21.50,19.70
lower,0,0,3,3,0,1,48,130,0.00,0.00,3.59,9.31,0.00,2.08,21.06,19.55
including,6,0,2,2,0,0,36,128,57.25,0.00,2.39,6.20,0.00,0.00,15.80,19.25
diabetes,0,0,0,0,0,0,20,126,0.00,0.00,0.00,0.00,0.00,0.00,8.78,18.95
document,0,4,11,1,10,1,38,125,0.00,7.83,13.15,3.10,19.45,2.08,16.67,18.80
studies,0,0,0,0,0,0,56,125,0.00,0.00,0.00,0.00,0.00,0.00,24.57,18.80
used,1,2,6,2,4,0,71,125,9.54,3.92,7.17,6.20,7.78,0.00,31.16,18.80
children,0,0,0,0,0,0,127,122,0.00,0.00,0.00,0.00,0.00,0.00,55.73,18.35
drinking,0,0,0,0,0,0,29,120,0.00,0.00,0.00,0.00,0.00,0.00,12.73,18.05
background,0,0,0,0,0,2,52,119,0.00,0.00,0.00,0.00,0.00,4.16,22.82,17.90
effective,0,0,1,0,1,2,53,116,0.00,0.00,1.20,0.00,1.95,4.16,23.26,17.44
county,0,0,0,0,0,0,10,114,0.00,0.00,0.00,0.00,0.00,0.00,4.39,17.14
research,1,0,1,0,1,3,16,111,9.54,0.00,1.20,0.00,1.95,6.24,7.02,16.69
common,0,2,4,4,0,0,28,111,0.00,3.92,4.78,12.41,0.00,0.00,12.29,16.69
school,0,0,0,0,0,0,48,108,0.00,0.00,0.00,0.00,0.00,0.00,21.06,16.24
fever,0,0,0,0,0,0,136,108,0.00,0.00,0.00,0.00,0.00,0.00,59.68,16.24
support,1,1,5,3,2,0,32,107,9.54,1.96,5.98,9.31,3.89,0.00,14.04,16.09
weight,0,12,0,0,0,6,20,107,0.00,23.49,0.00,0.00,0.00,12.49,8.78,16.09
good,0,2,0,0,0,7,56,107,0.00,3.92,0.00,0.00,0.00,14.57,24.57,16.09
ice,0,5,5,0,5,0,14,106,0.00,9.79,5.98,0.00,9.73,0.00,6.14,15.94
shower,0,0,0,0,0,0,10,104,0.00,0.00,0.00,0.00,0.00,0.00,4.39,15.64
treat,0,0,0,0,0,0,82,104,0.00,0.00,0.00,0.00,0.00,0.00,35.98,15.64
provided,6,1,1,0,1,0,31,103,57.25,1.96,1.20,0.00,1.95,0.00,13.60,15.49
say,0,1,0,0,0,0,27,102,0.00,1.96,0.00,0.00,0.00,0.00,11.85,15.34
cell,0,0,0,0,0,0,2,102,0.00,0.00,0.00,0.00,0.00,0.00,0.88,15.34
way,2,1,2,0,2,2,40,101,19.08,1.96,2.39,0.00,3.89,4.16,17.55,15.19
make,2,1,8,3,5,4,16,101,19.08,1.96,9.56,9.31,9.73,8.32,7.02,15.19
hiv,0,0,0,0,0,0,64,101,0.00,0.00,0.00,0.00,0.00,0.00,28.08,15.19
increase,0,0,0,0,0,0,22,97,0.00,0.00,0.00,0.00,0.00,0.00,9.65,14.59
skin,0,0,0,0,0,0,26,96,0.00,0.00,0.00,0.00,0.00,0.00,11.41,14.44
child,0,0,0,0,0,0,60,94,0.00,0.00,0.00,0.00,0.00,0.00,26.33,14.14
medical,0,0,3,3,0,0,42,92,0.00,0.00,3.59,9.31,0.00,0.00,18.43,13.84
cold,0,1,0,0,0,0,23,91,0.00,1.96,0.00,0.00,0.00,0.00,10.09,13.68
salt,0,0,0,0,0,2,0,91,0.00,0.00,0.00,0.00,0.00,4.16,0.00,13.68
gum,0,0,0,0,0,0,10,90,0.00,0.00,0.00,0.00,0.00,0.00,4.39,13.53
water,10,9,5,0,5,8,22,89,95.42,17.62,5.98,0.00,9.73,16.65,9.65,13.38
fish,0,0,0,0,0,0,7,88,0.00,0.00,0.00,0.00,0.00,0.00,3.07,13.23
body,2,0,2,2,0,4,22,86,19.08,0.00,2.39,6.20,0.00,8.32,9.65,12.93
copper,0,0,0,0,0,2,0,86,0.00,0.00,0.00,0.00,0.00,4.16,0.00,12.93
known,0,0,2,0,2,0,24,85,0.00,0.00,2.39,0.00,3.89,0.00,10.53,12.78
phones,0,0,0,0,0,0,0,84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.63
reference,0,2,0,0,0,2,30,84,0.00,3.92,0.00,0.00,0.00,4.16,13.16,12.63
remove,1,4,13,0,13,0,24,84,9.54,7.83,15.54,0.00,25.29,0.00,10.53,12.63
study,1,0,0,0,0,0,10,84,9.54,0.00,0.00,0.00,0.00,0.00,4.39,12.63
supplements,0,0,0,0,0,0,56,83,0.00,0.00,0.00,0.00,0.00,0.00,24.57,12.48
better,0,2,1,0,1,3,22,83,0.00,3.92,1.20,0.00,1.95,6.24,9.65,12.48
loss,0,0,2,0,2,0,10,83,0.00,0.00,2.39,0.00,3.89,0.00,4.39,12.48
helps,0,2,1,1,0,0,24,82,0.00,3.92,1.20,3.10,0.00,0.00,10.53,12.33
treatment,0,0,0,0,0,0,55,80,0.00,0.00,0.00,0.00,0.00,0.00,24.13,12.03
personally,0,0,0,0,0,0,30,80,0.00,0.00,0.00,0.00,0.00,0.00,13.16,12.03
given,0,0,2,2,0,2,29,79,0.00,0.00,2.39,6.20,0.00,4.16,12.73,11.88
care,1,0,0,0,0,2,8,77,9.54,0.00,0.00,0.00,0.00,4.16,3.51,11.58
woman,0,0,0,0,0,0,36,77,0.00,0.00,0.00,0.00,0.00,0.00,15.80,11.58
effects,1,0,0,0,0,0,18,76,9.54,0.00,0.00,0.00,0.00,0.00,7.90,11.43
home,0,0,5,5,0,3,14,76,0.00,0.00,5.98,15.51,0.00,6.24,6.14,11.43
asthma,0,0,0,0,0,0,38,76,0.00,0.00,0.00,0.00,0.00,0.00,16.67,11.43
united,0,0,0,0,0,0,33,76,0.00,0.00,0.00,0.00,0.00,0.00,14.48,11.43
states,0,0,1,1,0,1,26,75,0.00,0.00,1.20,3.10,0.00,2.08,11.41,11.28
prefer,0,0,0,0,0,0,31,75,0.00,0.00,0.00,0.00,0.00,0.00,13.60,11.28
air,3,1,0,0,0,7,4,75,28.63,1.96,0.00,0.00,0.00,14.57,1.76,11.28
yoga,0,2,0,0,0,2,30,74,0.00,3.92,0.00,0.00,0.00,4.16,13.16,11.13
exercise,1,2,1,0,1,7,12,74,9.54,3.92,1.20,0.00,1.95,14.57,5.27,11.13
reducing,0,1,0,0,0,2,39,73,0.00,1.96,0.00,0.00,0.00,4.16,17.11,10.98
man,0,1,1,1,0,0,38,73,0.00,1.96,1.20,3.10,0.00,0.00,16.67,10.98
breathing,0,0,0,0,0,0,23,73,0.00,0.00,0.00,0.00,0.00,0.00,10.09,10.98
linked,0,0,0,0,0,0,48,73,0.00,0.00,0.00,0.00,0.00,0.00,21.06,10.98
bracelets,0,0,0,0,0,0,0,72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.83
born,0,0,0,0,0,0,33,72,0.00,0.00,0.00,0.00,0.00,0.00,14.48,10.83
located,1,0,0,0,0,0,18,72,9.54,0.00,0.00,0.00,0.00,0.00,7.90,10.83
described,0,0,0,0,0,0,10,71,0.00,0.00,0.00,0.00,0.00,0.00,4.39,10.68
burns,0,0,0,0,0,5,10,70,0.00,0.00,0.00,0.00,0.00,10.41,4.39,10.53
control,0,1,0,0,0,0,34,70,0.00,1.96,0.00,0.00,0.00,0.00,14.92,10.53
city,6,0,0,0,0,1,7,69,57.25,0.00,0.00,0.00,0.00,2.08,3.07,10.38
family,0,0,1,1,0,2,24,69,0.00,0.00,1.20,3.10,0.00,4.16,10.53,10.38
swelling,0,0,0,0,0,0,2,68,0.00,0.00,0.00,0.00,0.00,0.00,0.88,10.23
taking,1,0,0,0,0,1,41,68,9.54,0.00,0.00,0.00,0.00,2.08,17.99,10.23
time,3,15,20,10,10,6,22,68,28.63,29.37,23.91,31.02,19.45,12.49,9.65,10.23
women,0,0,0,0,0,0,28,67,0.00,0.00,0.00,0.00,0.00,0.00,12.29,10.08
men,0,0,0,0,0,1,19,67,0.00,0.00,0.00,0.00,0.00,2.08,8.34,10.08
recommended,0,0,0,0,0,0,30,67,0.00,0.00,0.00,0.00,0.00,0.00,13.16,10.08
long,0,0,2,2,0,12,28,66,0.00,0.00,2.39,6.20,0.00,24.97,12.29,9.93
juice,0,0,0,0,0,4,28,66,0.00,0.00,0.00,0.00,0.00,8.32,12.29,9.93
trump,0,0,0,0,0,0,0,66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.93
safe,0,1,2,0,2,3,17,66,0.00,1.96,2.39,0.00,3.89,6.24,7.46,9.93
hydroquinone,0,0,0,0,0,0,0,65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.77
determine,0,0,0,0,0,0,18,64,0.00,0.00,0.00,0.00,0.00,0.00,7.90,9.62
correct,0,1,1,1,0,0,14,64,0.00,1.96,1.20,3.10,0.00,0.00,6.14,9.62
passage,15,0,0,0,0,0,34,64,143.13,0.00,0.00,0.00,0.00,0.00,14.92,9.62
day,4,24,9,1,8,16,20,64,38.17,46.99,10.76,3.10,15.56,33.30,8.78,9.62
severe,0,3,0,0,0,0,14,64,0.00,5.87,0.00,0.00,0.00,0.00,6.14,9.62
claims,0,0,0,0,0,0,12,63,0.00,0.00,0.00,0.00,0.00,0.00,5.27,9.47
levels,0,0,0,0,0,0,22,63,0.00,0.00,0.00,0.00,0.00,0.00,9.65,9.47
sugar,0,2,0,0,0,2,9,63,0.00,3.92,0.00,0.00,0.00,4.16,3.95,9.47
burn,0,0,0,0,0,0,8,62,0.00,0.00,0.00,0.00,0.00,0.00,3.51,9.32
low,0,0,1,1,0,5,33,61,0.00,0.00,1.20,3.10,0.00,10.41,14.48,9.17
large,0,0,2,1,1,3,12,61,0.00,0.00,2.39,3.10,1.95,6.24,5.27,9.17
osteoarthritis,0,0,0,0,0,0,0,61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.17
minutes,0,14,16,1,15,5,9,60,0.00,27.41,19.13,3.10,29.18,10.41,3.95,9.02
just,1,6,3,0,3,12,13,60,9.54,11.75,3.59,0.00,5.84,24.97,5.70,9.02
circumcision,0,0,0,0,0,0,50,60,0.00,0.00,0.00,0.00,0.00,0.00,21.94,9.02
usually,0,0,0,0,0,0,30,59,0.00,0.00,0.00,0.00,0.00,0.00,13.16,8.87
hours,0,5,8,0,8,5,2,59,0.00,9.79,9.56,0.00,15.56,10.41,0.88,8.87
higher,0,1,0,0,0,1,26,59,0.00,1.96,0.00,0.00,0.00,2.08,11.41,8.87
manage,0,0,0,0,0,0,12,58,0.00,0.00,0.00,0.00,0.00,0.00,5.27,8.72
small,0,0,2,0,2,0,12,58,0.00,0.00,2.39,0.00,3.89,0.00,5.27,8.72
parents,0,0,0,0,0,0,19,58,0.00,0.00,0.00,0.00,0.00,0.00,8.34,8.72
diet,0,0,0,0,0,0,16,58,0.00,0.00,0.00,0.00,0.00,0.00,7.02,8.72
statins,0,0,0,0,0,0,4,58,0.00,0.00,0.00,0.00,0.00,0.00,1.76,8.72
fruit,1,0,0,0,0,4,18,58,9.54,0.00,0.00,0.00,0.00,8.32,7.90,8.72
instead,0,3,7,7,0,6,20,57,0.00,5.87,8.37,21.71,0.00,12.49,8.78,8.57
contains,0,1,3,3,0,0,15,57,0.00,1.96,3.59,9.31,0.00,0.00,6.58,8.57
different,4,0,1,0,1,0,15,57,38.17,0.00,1.20,0.00,1.95,0.00,6.58,8.57
years,0,2,0,0,0,9,18,57,0.00,3.92,0.00,0.00,0.00,18.73,7.90,8.57
i'm,0,5,6,0,6,2,21,57,0.00,9.79,7.17,0.00,11.67,4.16,9.21,8.57
want,1,8,9,9,0,13,13,56,9.54,15.66,10.76,27.92,0.00,27.06,5.70,8.42
young,1,0,0,0,0,1,25,56,9.54,0.00,0.00,0.00,0.00,2.08,10.97,8.42
cases,0,1,1,1,0,3,22,56,0.00,1.96,1.20,3.10,0.00,6.24,9.65,8.42
acid,0,0,0,0,0,0,58,55,0.00,0.00,0.00,0.00,0.00,0.00,25.45,8.27
house,0,0,0,0,0,0,12,55,0.00,0.00,0.00,0.00,0.00,0.00,5.27,8.27
immune,0,0,0,0,0,0,10,54,0.00,0.00,0.00,0.00,0.00,0.00,4.39,8.12
remedies,0,0,0,0,0,0,2,54,0.00,0.00,0.00,0.00,0.00,0.00,0.88,8.12
tepid,0,0,0,0,0,0,64,54,0.00,0.00,0.00,0.00,0.00,0.00,28.08,8.12
built,0,3,1,1,0,3,6,54,0.00,5.87,1.20,3.10,0.00,6.24,2.63,8.12
daily,0,6,5,0,5,5,16,54,0.00,11.75,5.98,0.00,9.73,10.41,7.02,8.12
autism,0,0,0,0,0,0,52,54,0.00,0.00,0.00,0.00,0.00,0.00,22.82,8.12
issues,0,1,0,0,0,0,14,54,0.00,1.96,0.00,0.00,0.00,0.00,6.14,8.12
benefit,0,0,0,0,0,0,16,53,0.00,0.00,0.00,0.00,0.00,0.00,7.02,7.97
colds,0,0,0,0,0,0,4,53,0.00,0.00,0.00,0.00,0.00,0.00,1.76,7.97
pulling,0,0,0,0,0,0,0,53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.97
banned,0,0,0,0,0,0,0,53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.97
europe,2,0,0,0,0,2,10,53,19.08,0.00,0.00,0.00,0.00,4.16,4.39,7.97
zinc,0,0,0,0,0,0,60,52,0.00,0.00,0.00,0.00,0.00,0.00,26.33,7.82
little,0,0,0,0,0,4,9,52,0.00,0.00,0.00,0.00,0.00,8.32,3.95,7.82
bleeding,0,0,0,0,0,0,0,52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.82
provide,12,3,6,1,5,2,15,52,114.50,5.87,7.17,3.10,9.73,4.16,6.58,7.82
response,1,1,5,1,4,8,8,52,9.54,1.96,5.98,3.10,7.78,16.65,3.51,7.82
best,0,6,5,1,4,6,16,52,0.00,11.75,5.98,3.10,7.78,12.49,7.02,7.82
chewing,0,0,0,0,0,0,4,52,0.00,0.00,0.00,0.00,0.00,0.00,1.76,7.82
shows,0,0,1,1,0,1,12,51,0.00,0.00,1.20,3.10,0.00,2.08,5.27,7.67
i'd,1,4,0,0,0,1,7,51,9.54,7.83,0.00,0.00,0.00,2.08,3.07,7.67
helpful,0,2,0,0,0,0,24,51,0.00,3.92,0.00,0.00,0.00,0.00,10.53,7.67
infection,0,0,0,0,0,0,30,51,0.00,0.00,0.00,0.00,0.00,0.00,13.16,7.67
works,0,2,1,1,0,4,17,51,0.00,3.92,1.20,3.10,0.00,8.32,7.46,7.67
type,0,5,13,9,4,7,12,51,0.00,9.79,15.54,27.92,7.78,14.57,5.27,7.67
student,0,0,0,0,0,0,6,51,0.00,0.00,0.00,0.00,0.00,0.00,2.63,7.67
cough,0,0,0,0,0,0,20,50,0.00,0.00,0.00,0.00,0.00,0.00,8.78,7.52
i've,0,0,0,0,0,4,8,50,0.00,0.00,0.00,0.00,0.00,8.32,3.51,7.52
material,0,0,0,0,0,0,21,50,0.00,0.00,0.00,0.00,0.00,0.00,9.21,7.52
friend,0,0,2,2,0,1,2,50,0.00,0.00,2.39,6.20,0.00,2.08,0.88,7.52
world,1,0,0,0,0,2,17,50,9.54,0.00,0.00,0.00,0.00,4.16,7.46,7.52
soda,0,0,0,0,0,0,0,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.52
prostate,0,0,0,0,0,0,18,50,0.00,0.00,0.00,0.00,0.00,0.00,7.90,7.52
reduces,0,1,0,0,0,1,11,50,0.00,1.96,0.00,0.00,0.00,2.08,4.83,7.52
patients,0,0,0,0,0,0,20,50,0.00,0.00,0.00,0.00,0.00,0.00,8.78,7.52
african,0,0,0,0,0,0,16,50,0.00,0.00,0.00,0.00,0.00,0.00,7.02,7.52
include,0,3,2,2,0,9,26,49,0.00,5.87,2.39,6.20,0.00,18.73,11.41,7.37
magnetic,0,0,6,6,0,0,0,49,0.00,0.00,7.17,18.61,0.00,0.00,0.00,7.37
causes,2,4,1,1,0,0,4,49,19.08,7.83,1.20,3.10,0.00,0.00,1.76,7.37
building,0,7,15,3,12,1,6,49,0.00,13.70,17.93,9.31,23.34,2.08,2.63,7.37
lose,0,0,0,0,0,0,15,49,0.00,0.00,0.00,0.00,0.00,0.00,6.58,7.37
population,3,0,0,0,0,0,10,48,28.63,0.00,0.00,0.00,0.00,0.00,4.39,7.22
significant,4,0,0,0,0,0,10,48,38.17,0.00,0.00,0.00,0.00,0.00,4.39,7.22
bath,0,0,0,0,0,0,62,47,0.00,0.00,0.00,0.00,0.00,0.00,27.21,7.07
what's,0,1,0,0,0,6,8,47,0.00,1.96,0.00,0.00,0.00,12.49,3.51,7.07
therapy,0,0,0,0,0,0,28,47,0.00,0.00,0.00,0.00,0.00,0.00,12.29,7.07
vaccines,0,0,0,0,0,0,44,47,0.00,0.00,0.00,0.00,0.00,0.00,19.31,7.07
considered,0,0,0,0,0,0,29,47,0.00,0.00,0.00,0.00,0.00,0.00,12.73,7.07
birth,0,0,0,0,0,1,22,46,0.00,0.00,0.00,0.00,0.00,2.08,9.65,6.92
offer,2,2,0,0,0,0,13,46,19.08,3.92,0.00,0.00,0.00,0.00,5.70,6.92
here's,1,5,5,5,0,5,8,46,9.54,9.79,5.98,15.51,0.00,10.41,3.51,6.92
company,4,1,4,4,0,6,2,46,38.17,1.96,4.78,12.41,0.00,12.49,0.88,6.92
cognitive,0,0,0,0,0,1,24,46,0.00,0.00,0.00,0.00,0.00,2.08,10.53,6.92
think,2,2,0,0,0,0,10,45,19.08,3.92,0.00,0.00,0.00,0.00,4.39,6.77
text,8,11,12,9,3,12,16,45,76.34,21.53,14.35,27.92,5.84,24.97,7.02,6.77
facts,0,0,0,0,0,0,20,44,0.00,0.00,0.00,0.00,0.00,0.00,8.78,6.62
line,1,2,8,6,2,20,1,44,9.54,3.92,9.56,18.61,3.89,41.62,0.44,6.62
overall,3,1,0,0,0,0,5,44,28.63,1.96,0.00,0.00,0.00,0.00,2.19,6.62
original,0,3,3,3,0,0,19,44,0.00,5.87,3.59,9.31,0.00,0.00,8.34,6.62
film,0,4,0,0,0,0,44,44,0.00,7.83,0.00,0.00,0.00,0.00,19.31,6.62
apply,0,8,9,0,9,2,10,44,0.00,15.66,10.76,0.00,17.51,4.16,4.39,6.62
dementia,0,0,0,0,0,0,45,44,0.00,0.00,0.00,0.00,0.00,0.00,19.75,6.62
night,0,0,3,3,0,5,2,44,0.00,0.00,3.59,9.31,0.00,10.41,0.88,6.62
function,1,10,3,3,0,5,26,43,9.54,19.58,3.59,9.31,0.00,10.41,11.41,6.47
getting,0,0,0,0,0,0,27,42,0.00,0.00,0.00,0.00,0.00,0.00,11.85,6.32
relieve,0,0,0,0,0,0,30,42,0.00,0.00,0.00,0.00,0.00,0.00,13.16,6.32
sponge,0,0,0,0,0,0,62,42,0.00,0.00,0.00,0.00,0.00,0.00,27.21,6.32
heart,2,0,0,0,0,0,4,42,19.08,0.00,0.00,0.00,0.00,0.00,1.76,6.32
harmful,0,0,1,1,0,0,20,42,0.00,0.00,1.20,3.10,0.00,0.00,8.78,6.32
migraine,0,0,0,0,0,0,36,42,0.00,0.00,0.00,0.00,0.00,0.00,15.80,6.32
song,0,0,0,0,0,0,25,41,0.00,0.00,0.00,0.00,0.00,0.00,10.97,6.17
don't,0,3,2,0,2,7,5,41,0.00,5.87,2.39,0.00,3.89,14.57,2.19,6.17
white,0,0,0,0,0,0,21,41,0.00,0.00,0.00,0.00,0.00,0.00,9.21,6.17
national,0,2,0,0,0,0,19,41,0.00,3.92,0.00,0.00,0.00,0.00,8.34,6.17
actually,0,0,1,0,1,7,24,40,0.00,0.00,1.20,0.00,1.95,14.57,10.53,6.02
details,0,2,7,0,7,3,3,40,0.00,3.92,8.37,0.00,13.62,6.24,1.32,6.02
management,0,2,2,2,0,4,29,40,0.00,3.92,2.39,6.20,0.00,8.32,12.73,6.02
phone,0,3,5,5,0,1,0,40,0.00,5.87,5.98,15.51,0.00,2.08,0.00,6.02
certain,0,0,0,0,0,0,34,40,0.00,0.00,0.00,0.00,0.00,0.00,14.92,6.02
headaches,0,0,0,0,0,0,35,40,0.00,0.00,0.00,0.00,0.00,0.00,15.36,6.02
despite,2,0,0,0,0,0,20,40,19.08,0.00,0.00,0.00,0.00,0.00,8.78,6.02
likely,2,0,1,1,0,2,6,39,19.08,0.00,1.20,3.10,0.00,4.16,2.63,5.86
trial,0,0,0,0,0,0,21,39,0.00,0.00,0.00,0.00,0.00,0.00,9.21,5.86
place,1,7,0,0,0,1,8,39,9.54,13.70,0.00,0.00,0.00,2.08,3.51,5.86
cool,0,0,0,0,0,0,24,38,0.00,0.00,0.00,0.00,0.00,0.00,10.53,5.71
it's,4,11,13,0,13,3,4,38,38.17,21.53,15.54,0.00,25.29,6.24,1.76,5.71
days,0,3,1,0,1,6,16,37,0.00,5.87,1.20,0.00,1.95,12.49,7.02,5.56
year,1,1,0,0,0,2,24,37,9.54,1.96,0.00,0.00,0.00,4.16,10.53,5.56
stop,0,1,4,0,4,6,14,37,0.00,1.96,4.78,0.00,7.78,12.49,6.14,5.56
happened,0,1,0,0,0,0,24,37,0.00,1.96,0.00,0.00,0.00,0.00,10.53,5.56
months,0,4,1,1,0,7,14,37,0.00,7.83,1.20,3.10,0.00,14.57,6.14,5.56
single,5,2,14,6,8,4,14,37,47.71,3.92,16.74,18.61,15.56,8.32,6.14,5.56
state,0,2,11,1,10,3,11,36,0.00,3.92,13.15,3.10,19.45,6.24,4.83,5.41
early,2,1,0,0,0,3,16,36,19.08,1.96,0.00,0.00,0.00,6.24,7.02,5.41
consider,0,2,9,5,4,0,9,36,0.00,3.92,10.76,15.51,7.78,0.00,3.95,5.41
mild,0,0,0,0,0,0,19,36,0.00,0.00,0.00,0.00,0.00,0.00,8.34,5.41
really,2,0,2,0,2,0,20,36,19.08,0.00,2.39,0.00,3.89,0.00,8.78,5.41
aleve,0,0,0,0,0,0,38,36,0.00,0.00,0.00,0.00,0.00,0.00,16.67,5.41
rich,2,0,1,0,1,0,0,35,19.08,0.00,1.20,0.00,1.95,0.00,0.00,5.26
needed,0,7,5,1,4,5,21,35,0.00,13.70,5.98,3.10,7.78,10.41,9.21,5.26
community,1,1,0,0,0,1,20,35,9.54,1.96,0.00,0.00,0.00,2.08,8.78,5.26
interesting,4,0,0,0,0,0,6,35,38.17,0.00,0.00,0.00,0.00,0.00,2.63,5.26
treated,0,0,0,0,0,0,20,35,0.00,0.00,0.00,0.00,0.00,0.00,8.78,5.26
story,2,1,2,2,0,5,11,34,19.08,1.96,2.39,6.20,0.00,10.41,4.83,5.11
typically,2,1,3,1,2,0,11,34,19.08,1.96,3.59,3.10,3.89,0.00,4.83,5.11
can't,0,12,25,8,17,2,7,34,0.00,23.49,29.89,24.81,33.07,4.16,3.07,5.11
know,0,2,7,7,0,3,3,34,0.00,3.92,8.37,21.71,0.00,6.24,1.32,5.11
right,0,6,8,6,2,2,4,34,0.00,11.75,9.56,18.61,3.89,4.16,1.76,5.11
food,0,3,0,0,0,6,13,33,0.00,5.87,0.00,0.00,0.00,12.49,5.70,4.96
pregnancy,0,0,0,0,0,0,46,33,0.00,0.00,0.00,0.00,0.00,0.00,20.19,4.96
