word,slot1_count,slot2_count,slot3_count,slot4_count,slot5_count,slot6_count,slot7_count,slot8_count,dev_count,eval_count,slot1_rate_per10k,slot2_rate_per10k,slot3_rate_per10k,slot4_rate_per10k,slot5_rate_per10k,slot6_rate_per10k,slot7_rate_per10k,slot8_rate_per10k,dev_rate_per10k,eval_rate_per10k
way,2,0,3,0,2,1,2,2,40,101,2.74,0.00,3.59,0.00,3.31,1.29,1.78,2.48,17.55,15.19
make,5,1,0,4,2,3,4,4,16,101,6.84,1.51,0.00,7.03,3.31,3.88,3.55,4.96,7.02,15.19
hiv,0,0,0,0,0,0,0,0,64,101,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.08,15.19
increase,0,1,1,0,0,0,0,1,22,97,0.00,1.51,1.20,0.00,0.00,0.00,0.00,1.24,9.65,14.59
skin,0,1,0,1,0,0,0,0,26,96,0.00,1.51,0.00,1.76,0.00,0.00,0.00,0.00,11.41,14.44
child,3,0,0,5,0,0,2,0,60,94,4.11,0.00,0.00,8.79,0.00,0.00,1.78,0.00,26.33,14.14
medical,13,0,3,0,7,0,8,0,42,92,17.79,0.00,3.59,0.00,11.59,0.00,7.10,0.00,18.43,13.84
cold,0,1,0,5,8,0,8,9,23,91,0.00,1.51,0.00,8.79,13.24,0.00,7.10,11.15,10.09,13.68
salt,0,4,0,0,0,0,3,1,0,91,0.00,6.03,0.00,0.00,0.00,0.00,2.66,1.24,0.00,13.68
gum,0,0,0,2,0,0,0,0,10,90,0.00,0.00,0.00,3.52,0.00,0.00,0.00,0.00,4.39,13.53
water,5,2,4,3,3,0,5,2,22,89,6.84,3.02,4.79,5.27,4.97,0.00,4.44,2.48,9.65,13.38
fish,0,0,0,0,0,0,0,0,7,88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.07,13.23
body,0,2,0,0,0,0,1,2,22,86,0.00,3.02,0.00,0.00,0.00,0.00,0.89,2.48,9.65,12.93
copper,0,0,0,0,0,0,0,0,0,86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.93
known,0,1,0,0,4,0,4,0,24,85,0.00,1.51,0.00,0.00,6.62,0.00,3.55,0.00,10.53,12.78
reference,0,0,1,1,3,0,1,0,30,84,0.00,0.00,1.20,1.76,4.97,0.00,0.89,0.00,13.16,12.63
study,0,2,0,0,0,4,0,1,10,84,0.00,3.02,0.00,0.00,0.00,5.18,0.00,1.24,4.39,12.63
phones,0,1,0,0,0,0,0,1,0,84,0.00,1.51,0.00,0.00,0.00,0.00,0.00,1.24,0.00,12.63
remove,1,0,5,2,6,19,14,3,24,84,1.37,0.00,5.99,3.52,9.93,24.59,12.43,3.72,10.53,12.63
supplements,0,0,0,0,0,0,0,0,56,83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.57,12.48
better,1,0,1,0,0,1,1,0,22,83,1.37,0.00,1.20,0.00,0.00,1.29,0.89,0.00,9.65,12.48
loss,0,2,0,7,4,2,0,1,10,83,0.00,3.02,0.00,12.30,6.62,2.59,0.00,1.24,4.39,12.48
helps,0,1,1,0,1,1,0,0,24,82,0.00,1.51,1.20,0.00,1.66,1.29,0.00,0.00,10.53,12.33
treatment,0,0,0,0,0,0,0,0,55,80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.13,12.03
personally,0,0,0,0,0,0,0,0,30,80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.16,12.03
given,0,0,0,2,0,5,0,0,29,79,0.00,0.00,0.00,3.52,0.00,6.47,0.00,0.00,12.73,11.88
woman,0,0,0,0,1,0,1,0,36,77,0.00,0.00,0.00,0.00,1.66,0.00,0.89,0.00,15.80,11.58
care,0,0,0,0,0,0,0,1,8,77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.24,3.51,11.58
effects,0,0,0,0,0,0,0,0,18,76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.90,11.43
asthma,0,0,0,0,0,0,0,0,38,76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,11.43
home,6,6,2,4,4,0,7,2,14,76,8.21,9.05,2.40,7.03,6.62,0.00,6.21,2.48,6.14,11.43
united,0,0,0,0,0,0,0,0,33,76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.48,11.43
prefer,1,0,0,0,5,0,0,0,31,75,1.37,0.00,0.00,0.00,8.28,0.00,0.00,0.00,13.60,11.28
air,0,0,0,0,2,0,0,0,4,75,0.00,0.00,0.00,0.00,3.31,0.00,0.00,0.00,1.76,11.28
states,1,1,1,1,1,0,2,1,26,75,1.37,1.51,1.20,1.76,1.66,0.00,1.78,1.24,11.41,11.28
yoga,0,0,0,0,0,0,0,0,30,74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.16,11.13
exercise,0,2,0,0,3,0,0,0,12,74,0.00,3.02,0.00,0.00,4.97,0.00,0.00,0.00,5.27,11.13
breathing,0,4,0,0,1,2,0,0,23,73,0.00,6.03,0.00,0.00,1.66,2.59,0.00,0.00,10.09,10.98
reducing,1,3,1,1,1,3,0,0,39,73,1.37,4.52,1.20,1.76,1.66,3.88,0.00,0.00,17.11,10.98
linked,0,2,0,0,0,0,1,1,48,73,0.00,3.02,0.00,0.00,0.00,0.00,0.89,1.24,21.06,10.98
man,0,1,0,0,0,0,0,0,38,73,0.00,1.51,0.00,0.00,0.00,0.00,0.00,0.00,16.67,10.98
located,0,0,0,0,0,0,0,0,18,72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.90,10.83
bracelets,0,0,0,0,0,0,0,0,0,72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.83
born,0,0,0,0,1,0,0,0,33,72,0.00,0.00,0.00,0.00,1.66,0.00,0.00,0.00,14.48,10.83
described,0,0,0,0,0,0,1,0,10,71,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.00,4.39,10.68
control,25,12,13,1,0,12,7,20,34,70,34.22,18.10,15.57,1.76,0.00,15.53,6.21,24.78,14.92,10.53
burns,0,0,0,0,0,0,0,2,10,70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.48,4.39,10.53
family,3,6,0,0,1,0,0,0,24,69,4.11,9.05,0.00,0.00,1.66,0.00,0.00,0.00,10.53,10.38
city,3,3,0,1,7,1,5,0,7,69,4.11,4.52,0.00,1.76,11.59,1.29,4.44,0.00,3.07,10.38
taking,0,4,0,1,1,0,0,0,41,68,0.00,6.03,0.00,1.76,1.66,0.00,0.00,0.00,17.99,10.23
swelling,0,0,0,0,0,0,0,0,2,68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,10.23
time,18,25,9,34,5,42,13,17,22,68,24.64,37.71,10.78,59.76,8.28,54.35,11.54,21.06,9.65,10.23
recommended,0,0,0,0,1,0,5,0,30,67,0.00,0.00,0.00,0.00,1.66,0.00,4.44,0.00,13.16,10.08
women,0,0,0,0,0,0,0,0,28,67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.29,10.08
men,0,0,0,0,0,0,0,0,19,67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.34,10.08
safe,1,0,1,0,2,8,13,9,17,66,1.37,0.00,1.20,0.00,3.31,10.35,11.54,11.15,7.46,9.93
trump,0,0,0,0,0,0,0,0,0,66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.93
juice,0,2,0,1,0,0,0,0,28,66,0.00,3.02,0.00,1.76,0.00,0.00,0.00,0.00,12.29,9.93
long,0,2,1,0,0,0,1,1,28,66,0.00,3.02,1.20,0.00,0.00,0.00,0.89,1.24,12.29,9.93
hydroquinone,0,0,0,0,0,0,0,0,0,65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.77
passage,0,0,0,0,1,0,0,0,34,64,0.00,0.00,0.00,0.00,1.66,0.00,0.00,0.00,14.92,9.62
determine,0,0,0,0,0,0,0,0,18,64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.90,9.62
day,0,7,4,2,33,13,12,4,20,64,0.00,10.56,4.79,3.52,54.62,16.82,10.65,4.96,8.78,9.62
correct,1,0,1,0,0,0,2,0,14,64,1.37,0.00,1.20,0.00,0.00,0.00,1.78,0.00,6.14,9.62
severe,0,0,0,0,2,0,2,0,14,64,0.00,0.00,0.00,0.00,3.31,0.00,1.78,0.00,6.14,9.62
claims,2,0,0,0,1,0,0,0,12,63,2.74,0.00,0.00,0.00,1.66,0.00,0.00,0.00,5.27,9.47
levels,0,0,0,0,0,0,0,0,22,63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.65,9.47
sugar,0,0,0,1,3,0,2,0,9,63,0.00,0.00,0.00,1.76,4.97,0.00,1.78,0.00,3.95,9.47
burn,0,0,0,0,0,0,0,0,8,62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.51,9.32
low,5,0,1,1,3,0,0,0,33,61,6.84,0.00,1.20,1.76,4.97,0.00,0.00,0.00,14.48,9.17
large,4,0,1,8,1,1,2,1,12,61,5.47,0.00,1.20,14.06,1.66,1.29,1.78,1.24,5.27,9.17
osteoarthritis,0,0,0,0,0,0,0,0,0,61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.17
circumcision,0,0,0,0,0,0,0,0,50,60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.94,9.02
minutes,32,11,20,3,7,26,18,11,9,60,43.80,16.59,23.95,5.27,11.59,33.65,15.98,13.63,3.95,9.02
just,5,0,5,8,3,0,7,15,13,60,6.84,0.00,5.99,14.06,4.97,0.00,6.21,18.58,5.70,9.02
higher,0,0,0,0,2,8,2,0,26,59,0.00,0.00,0.00,0.00,3.31,10.35,1.78,0.00,11.41,8.87
usually,0,0,2,1,0,1,0,0,30,59,0.00,0.00,2.40,1.76,0.00,1.29,0.00,0.00,13.16,8.87
hours,11,9,5,3,3,11,3,2,2,59,15.06,13.57,5.99,5.27,4.97,14.24,2.66,2.48,0.88,8.87
diet,0,2,0,0,0,0,0,0,16,58,0.00,3.02,0.00,0.00,0.00,0.00,0.00,0.00,7.02,8.72
small,6,2,3,5,2,4,7,3,12,58,8.21,3.02,3.59,8.79,3.31,5.18,6.21,3.72,5.27,8.72
manage,0,0,0,0,1,0,0,0,12,58,0.00,0.00,0.00,0.00,1.66,0.00,0.00,0.00,5.27,8.72
statins,0,0,0,0,0,0,0,0,4,58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.76,8.72
parents,0,0,0,0,1,0,0,1,19,58,0.00,0.00,0.00,0.00,1.66,0.00,0.00,1.24,8.34,8.72
fruit,0,0,0,0,0,0,1,0,18,58,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.00,7.90,8.72
instead,13,6,11,6,2,2,8,4,20,57,17.79,9.05,13.17,10.55,3.31,2.59,7.10,4.96,8.78,8.57
i'm,6,0,20,2,14,0,48,6,21,57,8.21,0.00,23.95,3.52,23.17,0.00,42.61,7.43,9.21,8.57
years,2,0,1,1,0,0,3,2,18,57,2.74,0.00,1.20,1.76,0.00,0.00,2.66,2.48,7.90,8.57
different,3,0,0,0,0,1,1,1,15,57,4.11,0.00,0.00,0.00,0.00,1.29,0.89,1.24,6.58,8.57
contains,0,4,2,0,4,5,0,0,15,57,0.00,6.03,2.40,0.00,6.62,6.47,0.00,0.00,6.58,8.57
young,0,0,0,0,1,0,0,0,25,56,0.00,0.00,0.00,0.00,1.66,0.00,0.00,0.00,10.97,8.42
cases,1,0,2,3,0,3,3,1,22,56,1.37,0.00,2.40,5.27,0.00,3.88,2.66,1.24,9.65,8.42
want,7,16,3,0,17,4,7,7,13,56,9.58,24.13,3.59,0.00,28.14,5.18,6.21,8.67,5.70,8.42
acid,0,1,0,2,1,0,0,0,58,55,0.00,1.51,0.00,3.52,1.66,0.00,0.00,0.00,25.45,8.27
house,0,2,0,0,0,0,2,0,12,55,0.00,3.02,0.00,0.00,0.00,0.00,1.78,0.00,5.27,8.27
immune,0,0,0,0,0,0,0,0,10,54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.39,8.12
daily,14,8,8,2,4,11,1,3,16,54,19.16,12.07,9.58,3.52,6.62,14.24,0.89,3.72,7.02,8.12
remedies,0,0,0,0,0,0,0,0,2,54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,8.12
built,0,1,1,0,2,3,0,1,6,54,0.00,1.51,1.20,0.00,3.31,3.88,0.00,1.24,2.63,8.12
issues,3,0,0,0,0,0,1,5,14,54,4.11,0.00,0.00,0.00,0.00,0.00,0.89,6.19,6.14,8.12
tepid,0,0,0,0,0,0,0,0,64,54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.08,8.12
autism,0,0,0,0,0,0,0,0,52,54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.82,8.12
colds,0,0,0,0,0,0,0,0,4,53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.76,7.97
pulling,0,0,0,0,0,0,0,0,0,53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.97
benefit,0,0,0,0,0,2,0,0,16,53,0.00,0.00,0.00,0.00,0.00,2.59,0.00,0.00,7.02,7.97
europe,0,0,0,0,0,0,0,0,10,53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.39,7.97
banned,0,0,0,0,0,0,0,0,0,53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.97
little,0,0,0,0,0,0,1,0,9,52,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.00,3.95,7.82
provide,6,5,13,5,7,0,28,5,15,52,8.21,7.54,15.57,8.79,11.59,0.00,24.86,6.19,6.58,7.82
chewing,0,0,0,0,0,0,0,0,4,52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.76,7.82
bleeding,0,0,0,0,0,0,0,0,0,52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.82
best,2,7,8,10,4,4,8,3,16,52,2.74,10.56,9.58,17.58,6.62,5.18,7.10,3.72,7.02,7.82
response,5,5,8,2,6,5,5,6,8,52,6.84,7.54,9.58,3.52,9.93,6.47,4.44,7.43,3.51,7.82
zinc,0,0,0,0,0,0,1,0,60,52,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.00,26.33,7.82
works,2,3,0,1,7,0,4,4,17,51,2.74,4.52,0.00,1.76,11.59,0.00,3.55,4.96,7.46,7.67
helpful,0,0,0,1,0,1,0,1,24,51,0.00,0.00,0.00,1.76,0.00,1.29,0.00,1.24,10.53,7.67
infection,0,0,0,0,0,0,0,0,30,51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.16,7.67
student,0,0,0,0,0,0,0,0,6,51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.63,7.67
i'd,3,0,0,0,3,0,2,0,7,51,4.11,0.00,0.00,0.00,4.97,0.00,1.78,0.00,3.07,7.67
type,5,7,4,9,1,19,13,22,12,51,6.84,10.56,4.79,15.82,1.66,24.59,11.54,27.25,5.27,7.67
shows,4,0,0,0,0,0,0,0,12,51,5.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.27,7.67
world,0,1,0,0,3,1,0,0,17,50,0.00,1.51,0.00,0.00,4.97,1.29,0.00,0.00,7.46,7.52
reduces,1,0,0,0,0,0,1,0,11,50,1.37,0.00,0.00,0.00,0.00,0.00,0.89,0.00,4.83,7.52
patients,0,0,0,0,0,0,0,0,20,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.78,7.52
prostate,0,0,0,0,0,0,0,0,18,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.90,7.52
african,0,0,0,0,0,0,0,0,16,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.02,7.52
cough,0,0,0,0,0,0,0,0,20,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.78,7.52
i've,3,0,0,0,0,0,3,0,8,50,4.11,0.00,0.00,0.00,0.00,0.00,2.66,0.00,3.51,7.52
material,0,0,0,0,0,0,0,0,21,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.21,7.52
soda,0,0,0,0,0,0,0,0,0,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.52
friend,0,2,2,0,0,1,0,0,2,50,0.00,3.02,2.40,0.00,0.00,1.29,0.00,0.00,0.88,7.52
include,2,3,4,0,2,10,1,0,26,49,2.74,4.52,4.79,0.00,3.31,12.94,0.89,0.00,11.41,7.37
lose,0,0,0,0,0,0,0,1,15,49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.24,6.58,7.37
building,3,0,5,0,2,2,21,3,6,49,4.11,0.00,5.99,0.00,3.31,2.59,18.64,3.72,2.63,7.37
magnetic,0,0,6,0,1,0,1,0,0,49,0.00,0.00,7.19,0.00,1.66,0.00,0.89,0.00,0.00,7.37
causes,1,5,0,0,4,0,1,0,4,49,1.37,7.54,0.00,0.00,6.62,0.00,0.89,0.00,1.76,7.37
therapy,0,0,0,0,0,0,1,0,28,47,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.00,12.29,7.07
vaccines,0,0,0,0,0,0,1,0,44,47,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.00,19.31,7.07
bath,0,0,0,2,0,0,0,0,62,47,0.00,0.00,0.00,3.52,0.00,0.00,0.00,0.00,27.21,7.07
considered,0,0,0,0,0,0,0,0,29,47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.73,7.07
cognitive,0,4,0,0,0,0,0,0,24,46,0.00,6.03,0.00,0.00,0.00,0.00,0.00,0.00,10.53,6.92
here's,14,5,7,4,4,0,14,6,8,46,19.16,7.54,8.38,7.03,6.62,0.00,12.43,7.43,3.51,6.92
birth,0,3,0,2,0,0,1,0,22,46,0.00,4.52,0.00,3.52,0.00,0.00,0.89,0.00,9.65,6.92
company,0,8,6,1,0,0,2,2,2,46,0.00,12.07,7.19,1.76,0.00,0.00,1.78,2.48,0.88,6.92
text,2,1,10,10,5,17,3,19,16,45,2.74,1.51,11.98,17.58,8.28,22.00,2.66,23.54,7.02,6.77
life,0,4,0,0,8,0,1,0,13,45,0.00,6.03,0.00,0.00,13.24,0.00,0.89,0.00,5.70,6.77
facts,0,0,0,0,0,0,0,0,20,44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.78,6.62
dementia,0,0,0,0,0,0,0,0,45,44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.75,6.62
film,0,0,0,0,0,0,0,0,44,44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.31,6.62
line,7,11,3,1,7,6,3,1,1,44,9.58,16.59,3.59,1.76,11.59,7.76,2.66,1.24,0.44,6.62
original,2,4,0,6,2,6,0,5,19,44,2.74,6.03,0.00,10.55,3.31,7.76,0.00,6.19,8.34,6.62
apply,8,13,25,0,2,3,9,8,10,44,10.95,19.61,29.94,0.00,3.31,3.88,7.99,9.91,4.39,6.62
function,4,8,7,4,1,18,2,20,26,43,5.47,12.07,8.38,7.03,1.66,23.29,1.78,24.78,11.41,6.47
