pair,gen_a,gen_b,n,draw,n_pos,n_neg,n_training_rows,dev_mean,eval_mean,dev_ai_dilemmas,dev_ant_hh,dev_balanced_refusal,dev_daily_dilemmas,eval_ai_dilemmas,eval_ant_hh,eval_balanced_refusal,eval_daily_dilemmas,seconds
deepseekv4pro+gptoss,gptoss,deepseekv4pro,300,7,300,300,600,0.91999,0.8935,1.0,0.7686,0.92927,0.98209,0.996,0.72254,0.87705,0.97839,48.9
deepseekv4pro+gptoss,gptoss,deepseekv4pro,400,0,400,400,800,0.90894,0.89005,1.0,0.71488,0.92181,0.99908,0.99935,0.68813,0.89046,0.98225,57.9
deepseekv4pro+gptoss,gptoss,deepseekv4pro,400,1,400,400,800,0.92147,0.8902,1.0,0.78099,0.90488,1.0,0.99762,0.71029,0.86189,0.99099,65.2
deepseekv4pro+gptoss,gptoss,deepseekv4pro,400,2,400,400,800,0.92849,0.8959,1.0,0.81921,0.90209,0.99265,0.99611,0.73825,0.85797,0.99125,30.1
deepseekv4pro+gptoss,gptoss,deepseekv4pro,400,3,400,400,800,0.92557,0.88822,1.0,0.79236,0.91268,0.99725,0.99924,0.69258,0.8701,0.99094,85.6
deepseekv4pro+gptoss,gptoss,deepseekv4pro,400,4,400,400,800,0.92975,0.9019,1.0,0.77169,0.95188,0.99541,0.99978,0.70094,0.91449,0.9924,63.8
deepseekv4pro+gptoss,gptoss,deepseekv4pro,400,5,400,400,800,0.93256,0.90397,1.0,0.79752,0.93272,1.0,0.99838,0.72555,0.90351,0.98844,62.9
deepseekv4pro+gptoss,gptoss,deepseekv4pro,400,6,400,400,800,0.9185,0.89129,1.0,0.77273,0.90588,0.99541,0.99027,0.7182,0.86996,0.98672,30.8
deepseekv4pro+gptoss,gptoss,deepseekv4pro,400,7,400,400,800,0.92111,0.90379,1.0,0.7469,0.9403,0.99725,0.99816,0.71196,0.91534,0.98969,33.3
deepseekv4pro+gptoss,gptoss,deepseekv4pro,500,0,500,500,1000,0.93389,0.90816,1.0,0.77789,0.95767,1.0,1.0,0.70506,0.94247,0.98511,38.5
deepseekv4pro+gptoss,gptoss,deepseekv4pro,500,1,500,500,1000,0.92801,0.90259,1.0,0.77066,0.9423,0.99908,0.9987,0.726,0.89684,0.98881,55.9
deepseekv4pro+gptoss,gptoss,deepseekv4pro,500,2,500,500,1000,0.93628,0.90596,1.0,0.79442,0.95255,0.99816,0.9987,0.72566,0.91082,0.98865,63.2
deepseekv4pro+gptoss,gptoss,deepseekv4pro,500,3,500,500,1000,0.92287,0.8945,1.0,0.77066,0.92081,1.0,0.99686,0.72455,0.86847,0.98813,66.8
deepseekv4pro+gptoss,gptoss,deepseekv4pro,500,4,500,500,1000,0.91662,0.88955,1.0,0.75826,0.9119,0.99633,0.996,0.70205,0.87349,0.98667,40.3
deepseekv4pro+gptoss,gptoss,deepseekv4pro,500,5,500,500,1000,0.91784,0.88823,1.0,0.75413,0.92092,0.99633,0.99762,0.69058,0.87648,0.98823,44.9
deepseekv4pro+gptoss,gptoss,deepseekv4pro,500,6,500,500,1000,0.90656,0.87899,0.98488,0.7469,0.90454,0.9899,0.96691,0.69949,0.86353,0.98605,34.3
deepseekv4pro+gptoss,gptoss,deepseekv4pro,500,7,500,500,1000,0.91929,0.90194,1.0,0.73244,0.94564,0.99908,0.99838,0.71063,0.91474,0.98402,36.0
deepseekv4pro+gptoss,gptoss,deepseekv4pro,600,0,600,600,1200,0.93505,0.91243,1.0,0.7655,0.97472,1.0,0.99892,0.72722,0.9534,0.97017,83.6
gptoss+llama70b,gptoss,llama70b,100,0,100,100,200,0.90632,0.90068,1.0,0.68698,0.93829,1.0,0.99589,0.70472,0.91466,0.98745,17.0
gptoss+llama70b,gptoss,llama70b,100,1,100,100,200,0.91231,0.90311,1.0,0.71694,0.93506,0.99725,0.99762,0.71608,0.91504,0.9837,31.1
gptoss+llama70b,gptoss,llama70b,100,2,100,100,200,0.91858,0.89829,1.0,0.78822,0.89619,0.9899,0.99362,0.771,0.84547,0.98308,17.5
gptoss+llama70b,gptoss,llama70b,100,3,100,100,200,0.92976,0.89576,1.0,0.79959,0.92036,0.99908,0.99557,0.74716,0.85505,0.98527,17.0
gptoss+llama70b,gptoss,llama70b,100,4,100,100,200,0.91044,0.8953,0.99811,0.73864,0.90777,0.99725,0.99027,0.75028,0.86034,0.98032,24.0
gptoss+llama70b,gptoss,llama70b,100,5,100,100,200,0.92442,0.8974,1.0,0.77893,0.91969,0.99908,0.99589,0.74426,0.86539,0.98407,18.3
gptoss+llama70b,gptoss,llama70b,100,6,100,100,200,0.90936,0.88629,1.0,0.72624,0.91212,0.99908,0.98648,0.72232,0.85202,0.98433,17.1
gptoss+llama70b,gptoss,llama70b,100,7,100,100,200,0.91115,0.90346,1.0,0.71281,0.93362,0.99816,0.99762,0.71842,0.9054,0.9924,24.9
gptoss+llama70b,gptoss,llama70b,200,0,200,200,400,0.9184,0.88338,0.98866,0.79649,0.89029,0.99816,0.97664,0.72466,0.84472,0.98751,21.2
gptoss+llama70b,gptoss,llama70b,200,1,200,200,400,0.92797,0.91072,1.0,0.77376,0.93996,0.99816,0.99903,0.76108,0.89848,0.98428,26.9
gptoss+llama70b,gptoss,llama70b,200,2,200,200,400,0.89692,0.88016,0.97259,0.73037,0.90354,0.98118,0.9415,0.74159,0.85962,0.97793,20.7
gptoss+llama70b,gptoss,llama70b,200,3,200,200,400,0.87133,0.85632,0.87429,0.78926,0.85988,0.96189,0.87824,0.75095,0.83242,0.96366,20.7
gptoss+llama70b,gptoss,llama70b,200,4,200,200,400,0.92848,0.90001,1.0,0.78616,0.93328,0.99449,0.99719,0.73691,0.88239,0.98355,21.2
gptoss+llama70b,gptoss,llama70b,200,5,200,200,400,0.92004,0.91081,1.0,0.75,0.93016,1.0,0.99838,0.75674,0.89501,0.99313,21.0
gptoss+llama70b,gptoss,llama70b,200,6,200,200,400,0.91394,0.88528,0.96692,0.80682,0.88661,0.99541,0.96334,0.75351,0.84329,0.981,20.8
gptoss+llama70b,gptoss,llama70b,200,7,200,200,400,0.92366,0.89493,0.99811,0.80062,0.8973,0.99862,0.99308,0.74961,0.84737,0.98964,21.4
gptoss+llama70b,gptoss,llama70b,300,0,300,300,600,0.92378,0.91709,1.0,0.7469,0.94821,1.0,0.99935,0.77935,0.90759,0.98209,27.9
gptoss+llama70b,gptoss,llama70b,300,1,300,300,600,0.90808,0.89875,1.0,0.71074,0.92159,1.0,0.9974,0.73223,0.8793,0.98605,25.4
gptoss+llama70b,gptoss,llama70b,300,2,300,300,600,0.91995,0.90445,1.0,0.7376,0.94219,1.0,0.99881,0.71664,0.91786,0.98449,26.0
gptoss+llama70b,gptoss,llama70b,300,3,300,300,600,0.90918,0.89753,1.0,0.71901,0.92047,0.99725,0.99805,0.72466,0.88085,0.98657,53.8
gptoss+llama70b,gptoss,llama70b,300,4,300,300,600,0.90996,0.88917,0.99716,0.74174,0.90276,0.99816,0.99373,0.72421,0.848,0.99073,27.4
gptoss+llama70b,gptoss,llama70b,300,5,300,300,600,0.90372,0.88179,0.98299,0.7469,0.88683,0.99816,0.97664,0.71876,0.84889,0.98287,25.4
gptoss+llama70b,gptoss,llama70b,300,6,300,300,600,0.90161,0.88212,0.98677,0.72211,0.90399,0.99357,0.97448,0.72822,0.84659,0.97918,42.1
gptoss+llama70b,gptoss,llama70b,300,7,300,300,600,0.91685,0.89579,1.0,0.74793,0.91947,1.0,0.9974,0.72544,0.87365,0.98667,27.6
gptoss+llama70b,gptoss,llama70b,400,0,400,400,800,0.90997,0.8829,1.0,0.73657,0.90699,0.99633,0.9907,0.70539,0.84811,0.9874,49.7
gptoss+llama70b,gptoss,llama70b,400,1,400,400,800,0.89305,0.87387,0.99244,0.7376,0.84952,0.99265,0.97956,0.71297,0.81966,0.98329,29.3
gptoss+llama70b,gptoss,llama70b,400,2,400,400,800,0.91423,0.89318,1.0,0.74793,0.91357,0.99541,0.99459,0.72466,0.86489,0.9886,31.2
gptoss+llama70b,gptoss,llama70b,400,3,400,400,800,0.92535,0.90318,1.0,0.76033,0.94108,1.0,0.99784,0.72477,0.90416,0.98594,35.5
gptoss+llama70b,gptoss,llama70b,400,4,400,400,800,0.91138,0.89152,1.0,0.73967,0.91,0.99587,0.99189,0.72923,0.86074,0.98423,49.2
gptoss+llama70b,gptoss,llama70b,400,5,400,400,800,0.91988,0.89491,1.0,0.75207,0.92838,0.99908,0.99697,0.72188,0.87444,0.98636,38.2
gptoss+llama70b,gptoss,llama70b,400,6,400,400,800,0.87932,0.87874,0.98582,0.68698,0.85275,0.99174,0.97005,0.72577,0.83455,0.98459,29.5
gptoss+llama70b,gptoss,llama70b,400,7,400,400,800,0.93132,0.90286,1.0,0.79132,0.93763,0.99633,0.99849,0.74794,0.87954,0.98547,38.4
gptoss+llama70b,gptoss,llama70b,500,0,500,500,1000,0.90589,0.88576,1.0,0.71694,0.90844,0.99816,0.99643,0.70795,0.85655,0.98209,34.6
gptoss+llama70b,gptoss,llama70b,500,1,500,500,1000,0.92016,0.9015,1.0,0.73967,0.94141,0.99954,0.99611,0.73279,0.88831,0.98881,37.9
gptoss+llama70b,gptoss,llama70b,500,2,500,500,1000,0.92245,0.90045,1.0,0.7562,0.93362,1.0,0.99697,0.73235,0.88644,0.98605,37.8
gptoss+llama70b,gptoss,llama70b,500,3,500,500,1000,0.92659,0.90999,1.0,0.7624,0.94397,1.0,0.99816,0.74315,0.91176,0.98688,71.9
gptoss+llama70b,gptoss,llama70b,500,4,500,500,1000,0.92316,0.89889,1.0,0.75103,0.94253,0.99908,0.99654,0.72522,0.89494,0.97886,66.4
gptoss+llama70b,gptoss,llama70b,500,5,500,500,1000,0.92382,0.90142,1.0,0.75413,0.94208,0.99908,0.99849,0.72511,0.90058,0.98152,35.4
gptoss+llama70b,gptoss,llama70b,500,6,500,500,1000,0.9026,0.88791,1.0,0.68595,0.92905,0.99541,0.99654,0.6879,0.8859,0.98131,34.1
gptoss+llama70b,gptoss,llama70b,500,7,500,500,1000,0.93448,0.90518,1.0,0.80165,0.93718,0.99908,0.99784,0.7436,0.89226,0.98704,54.6
gptoss+llama70b,gptoss,llama70b,600,0,600,600,1200,0.91348,0.89656,1.0,0.7531,0.90265,0.99816,0.99719,0.74749,0.85245,0.98912,38.9
deepseekv4pro+llama70b,deepseekv4pro,llama70b,100,0,100,100,200,0.91749,0.89458,0.99622,0.75207,0.92626,0.99541,0.99308,0.73468,0.87109,0.97949,19.1
deepseekv4pro+llama70b,deepseekv4pro,llama70b,100,1,100,100,200,0.90746,0.89599,1.0,0.69525,0.93918,0.99541,0.99286,0.71341,0.89189,0.98579,19.8
deepseekv4pro+llama70b,deepseekv4pro,llama70b,100,2,100,100,200,0.92389,0.90782,1.0,0.76343,0.93395,0.99816,0.99492,0.75117,0.90196,0.98324,29.6
deepseekv4pro+llama70b,deepseekv4pro,llama70b,100,3,100,100,200,0.9018,0.8851,1.0,0.68905,0.92181,0.99633,0.99189,0.68479,0.87826,0.98547,16.9
deepseekv4pro+llama70b,deepseekv4pro,llama70b,100,4,100,100,200,0.92326,0.90637,0.99811,0.73967,0.95712,0.99816,0.99643,0.71475,0.93012,0.98417,17.0
deepseekv4pro+llama70b,deepseekv4pro,llama70b,100,5,100,100,200,0.921,0.89688,1.0,0.74483,0.93918,1.0,0.99567,0.69971,0.90954,0.98261,20.3
deepseekv4pro+llama70b,deepseekv4pro,llama70b,100,6,100,100,200,0.9372,0.90492,1.0,0.80579,0.94576,0.99725,0.99859,0.73847,0.90041,0.98219,25.4
deepseekv4pro+llama70b,deepseekv4pro,llama70b,100,7,100,100,200,0.93107,0.90835,0.99811,0.76653,0.96057,0.99908,0.99719,0.72566,0.92225,0.98829,17.6
deepseekv4pro+llama70b,deepseekv4pro,llama70b,200,0,200,200,400,0.91394,0.89493,0.99811,0.72831,0.93117,0.99816,0.99676,0.69748,0.89746,0.98803,21.5
deepseekv4pro+llama70b,deepseekv4pro,llama70b,200,1,200,200,400,0.91891,0.90531,1.0,0.73244,0.94687,0.99633,0.99589,0.73023,0.90568,0.98943,21.0
deepseekv4pro+llama70b,deepseekv4pro,llama70b,200,2,200,200,400,0.92668,0.89641,1.0,0.79132,0.91813,0.99725,0.99416,0.73424,0.86791,0.98933,47.8
deepseekv4pro+llama70b,deepseekv4pro,llama70b,200,3,200,200,400,0.91563,0.89472,0.99622,0.75103,0.91802,0.99725,0.99459,0.72466,0.8752,0.98443,32.3
deepseekv4pro+llama70b,deepseekv4pro,llama70b,200,4,200,200,400,0.9306,0.89151,1.0,0.81612,0.90811,0.99816,0.99611,0.71809,0.86002,0.99183,21.8
deepseekv4pro+llama70b,deepseekv4pro,llama70b,200,5,200,200,400,0.92017,0.89604,1.0,0.73864,0.94297,0.99908,0.99849,0.6898,0.90799,0.98787,25.0
deepseekv4pro+llama70b,deepseekv4pro,llama70b,200,6,200,200,400,0.91676,0.89714,0.99055,0.7407,0.93763,0.99816,0.99254,0.71285,0.89945,0.9837,20.5
deepseekv4pro+llama70b,deepseekv4pro,llama70b,200,7,200,200,400,0.93091,0.88843,1.0,0.79959,0.92771,0.99633,0.99903,0.69615,0.8734,0.98516,22.7
deepseekv4pro+llama70b,deepseekv4pro,llama70b,300,0,300,300,600,0.89382,0.89536,0.99622,0.6405,0.9413,0.99725,0.9974,0.67832,0.92241,0.98329,36.1
deepseekv4pro+llama70b,deepseekv4pro,llama70b,300,1,300,300,600,0.91143,0.89061,1.0,0.73554,0.91201,0.99816,0.99676,0.71597,0.86538,0.98433,25.9
deepseekv4pro+llama70b,deepseekv4pro,llama70b,300,2,300,300,600,0.9349,0.90922,1.0,0.78099,0.9609,0.9977,0.99892,0.71954,0.93379,0.98464,45.3
deepseekv4pro+llama70b,deepseekv4pro,llama70b,300,3,300,300,600,0.92764,0.91571,1.0,0.73864,0.97282,0.99908,0.99957,0.72455,0.96757,0.97116,44.7
deepseekv4pro+llama70b,deepseekv4pro,llama70b,300,4,300,300,600,0.9201,0.91025,1.0,0.72107,0.96024,0.99908,0.99957,0.71051,0.94633,0.98459,25.6
deepseekv4pro+llama70b,deepseekv4pro,llama70b,300,5,300,300,600,0.92938,0.90184,1.0,0.77066,0.94687,1.0,0.99697,0.70996,0.91178,0.98865,25.6
deepseekv4pro+llama70b,deepseekv4pro,llama70b,300,6,300,300,600,0.91714,0.90733,1.0,0.71178,0.95678,1.0,0.99892,0.70517,0.93949,0.98574,25.8
deepseekv4pro+llama70b,deepseekv4pro,llama70b,300,7,300,300,600,0.93211,0.90675,0.99622,0.78719,0.94687,0.99816,0.99708,0.72154,0.92446,0.98391,37.7
deepseekv4pro+llama70b,deepseekv4pro,llama70b,400,0,400,400,800,0.92225,0.89243,1.0,0.75207,0.93785,0.99908,0.99881,0.6937,0.8907,0.98652,33.6
deepseekv4pro+llama70b,deepseekv4pro,llama70b,400,1,400,400,800,0.91741,0.89827,0.99811,0.73657,0.93495,1.0,0.99827,0.71252,0.89156,0.99073,30.8
deepseekv4pro+llama70b,deepseekv4pro,llama70b,400,2,400,400,800,0.92131,0.90864,1.0,0.7345,0.95166,0.99908,0.99957,0.72065,0.92601,0.98834,39.5
deepseekv4pro+llama70b,deepseekv4pro,llama70b,400,3,400,400,800,0.91168,0.89796,1.0,0.70145,0.94709,0.99816,0.99762,0.70717,0.90299,0.98407,50.1
deepseekv4pro+llama70b,deepseekv4pro,llama70b,400,4,400,400,800,0.9274,0.91499,1.0,0.75723,0.95422,0.99816,1.0,0.74059,0.93649,0.98287,47.0
deepseekv4pro+llama70b,deepseekv4pro,llama70b,400,5,400,400,800,0.93056,0.90922,1.0,0.77376,0.95032,0.99816,0.99578,0.73157,0.92707,0.98246,31.7
deepseekv4pro+llama70b,deepseekv4pro,llama70b,400,6,400,400,800,0.90694,0.90629,1.0,0.67149,0.95812,0.99816,0.99805,0.69147,0.95114,0.98449,37.0
deepseekv4pro+llama70b,deepseekv4pro,llama70b,400,7,400,400,800,0.91831,0.90557,1.0,0.71901,0.95422,1.0,0.99859,0.71007,0.92486,0.98875,58.4
deepseekv4pro+llama70b,deepseekv4pro,llama70b,500,0,500,500,1000,0.91705,0.9001,1.0,0.72727,0.94186,0.99908,0.99849,0.71141,0.9072,0.98329,47.6
deepseekv4pro+llama70b,deepseekv4pro,llama70b,500,1,500,500,1000,0.90689,0.90697,0.99811,0.68079,0.95144,0.99725,0.99795,0.70639,0.9405,0.98303,35.0
deepseekv4pro+llama70b,deepseekv4pro,llama70b,500,2,500,500,1000,0.9114,0.91055,1.0,0.67769,0.96792,1.0,0.99957,0.7074,0.95496,0.98027,66.2
deepseekv4pro+llama70b,deepseekv4pro,llama70b,500,3,500,500,1000,0.92233,0.90095,0.99622,0.74793,0.94609,0.99908,0.99535,0.70851,0.91216,0.98777,62.7
deepseekv4pro+llama70b,deepseekv4pro,llama70b,500,4,500,500,1000,0.92664,0.90941,1.0,0.75413,0.95244,1.0,0.99881,0.72689,0.92849,0.98344,39.5
deepseekv4pro+llama70b,deepseekv4pro,llama70b,500,5,500,500,1000,0.91368,0.89398,0.99244,0.7314,0.93362,0.99725,0.99654,0.6986,0.89745,0.98334,39.7
deepseekv4pro+llama70b,deepseekv4pro,llama70b,500,6,500,500,1000,0.91823,0.90095,1.0,0.72417,0.94965,0.99908,0.99676,0.70829,0.9116,0.98714,53.9
deepseekv4pro+llama70b,deepseekv4pro,llama70b,500,7,500,500,1000,0.92236,0.90777,1.0,0.73244,0.95701,1.0,0.99805,0.71352,0.9357,0.98381,37.7
deepseekv4pro+llama70b,deepseekv4pro,llama70b,600,0,600,600,1200,0.92874,0.91061,1.0,0.73967,0.97527,1.0,0.9974,0.69648,0.96714,0.98141,52.0
